,player_name,age,pos,mp,pts,ast,trb,stl,blk,fg_pct,3p_pct,ft_pct,tov,fga,3pa,2pa,fta,orb,drb,per,bpm,vorp,usg
415,Richaun Holmes,31,PF,534,15.5,2.8,11.9,0.6,1.6,0.647,0,0.833,1.4,9.4,0.2,9.2,4,4.2,7.8,19.8,1.1,0.4,14.7
416,Mouhamed Gueye,22,PF,533,13.3,1.8,9.4,1.9,2.2,0.421,0.259,0.762,1,11.5,5.5,6.1,2.8,3,6.4,14.4,-0.6,0.2,15.7
417,Jaylen Clark,23,SG,522,11.2,1.8,3.7,2.5,0.1,0.467,0.431,0.784,0.6,8.3,3.5,4.8,2.6,1.8,1.9,12,-0.2,0.2,12
418,Rob Dillingham,20,PG,516,15.3,6.8,3.5,1.4,0.1,0.441,0.338,0.533,3.7,14.7,5.2,9.6,1,0.8,2.7,10.2,-4.2,-0.3,22.7
419,Colby Jones,22,SG,515,11,3.1,6.1,1.8,0.9,0.457,0.327,0.657,1.6,9,3.4,5.6,2.4,1.5,4.6,11.4,-2.8,-0.1,13.7
420,Craig Porter Jr.,24,PG,513,13.2,5,4.7,1.2,1.1,0.514,0.438,0.719,2.7,9.8,3.4,6.5,2.2,1.3,3.4,13.1,1.1,0.4,15.9
421,Tristan Vukcevic,21,C,513,23.2,2.7,9.1,0.8,1.6,0.496,0.373,0.776,2.9,17,7.2,9.8,4.7,1.8,7.3,17.8,-0.5,0.2,25.7
422,Elfrid Payton,30,PG,511,6,11.7,5.6,1.7,0.8,0.328,0.167,0.571,4.2,8.6,0.4,8.2,0.5,1.1,4.5,8.5,-6.4,-0.6,15.2
423,Jamal Cain,25,SF,502,14.1,1.6,6.1,1.6,0.6,0.43,0.325,0.68,1.6,11.3,5.7,5.6,3.6,1.9,4.2,11.4,-3.4,-0.2,17
424,Keaton Wallace,25,PG,501,12.1,5.8,3.6,2,0.6,0.401,0.329,1,2.4,11.6,5.9,5.7,0.8,0.5,3.1,10.1,-2.3,0,16.4
